00035,070106629,7,Night,T-209TH,123000-5500C101,2019-12-13 07:17:07,4,BRC00333,BRC00336,FA-6,20191213070106629,86120-0KD30-00,HEAD UNIT,213-190212141431.jpg,Printed,,4,
02271,070106630,7,Night,T-208TH,123000-54920101,2019-12-13 07:23:30,4,BRC00449,BRC00452,FA-6,20191213070106630,86120-0KD22-00,HEAD UNIT,242-190410150325.jpg,Printed,,4,
02271,070106631,7,Night,T-208TH,123000-54920101,2019-12-13 07:30:30,4,BRC00453,BRC00456,FA-6,20191213070106631,86120-0KD22-00,HEAD UNIT,242-190410150325.jpg,Printed,,4,
02271,070106632,7,Night,T-208TH,123000-54920101,2019-12-13 07:36:32,4,BRC00457,BRC00460,FA-6,20191213070106632,86120-0KD22-00,HEAD UNIT,242-190410150325.jpg,Printed,,4,
02271,070106633,7,Night,T-208TH,123000-54920101,2019-12-13 07:42:18,4,BRC00461,BRC00464,FA-6,20191213070106633,86120-0KD22-00,HEAD UNIT,242-190410150325.jpg,Printed,,4,
02271,070106634,7,Day,T-208TH,123000-54920101,2019-12-13 08:35:02,4,BRC00465,BRC00468,FA-6,20191213070106634,86120-0KD22-00,HEAD UNIT,242-190410150325.jpg,Printed,,4,
02271,070106635,7,Day,T-208TH,123000-54920101,2019-12-13 08:39:53,4,BRC00469,BRC00472,FA-6,20191213070106635,86120-0KD22-00,HEAD UNIT,242-190410150325.jpg,Printed,,4,
00035,070106636,7,Day,T-209TH,123000-5500C101,2019-12-13 08:45:28,4,BRC00337,BRC00340,FA-6,20191213070106636,86120-0KD30-00,HEAD UNIT,213-190212141431.jpg,Printed,,4,
K72,070106637,7,Day,T-201TH,123000-5420C101,2019-12-13 08:50:58,4,BRC03317,BRC03320,FA-6,20191213070106637,86120-0KA00-00,HEAD UNIT,2-170209104532.jpg,Printed,,4,
K72,070106638,7,Day,T-201TH,123000-5420C101,2019-12-13 08:56:16,4,BRC03321,BRC03324,FA-6,20191213070106638,86120-0KA00-00,HEAD UNIT,2-170209104532.jpg,Printed,,4,
K72,070106639,7,Day,T-201TH,123000-5420C101,2019-12-13 09:01:37,4,BRC03325,BRC03328,FA-6,20191213070106639,86120-0KA00-00,HEAD UNIT,2-170209104532.jpg,Printed,,4,
K72,070106640,7,Day,T-201TH,123000-5420C101,2019-12-13 09:07:36,4,BRC03329,BRC03332,FA-6,20191213070106640,86120-0KA00-00,HEAD UNIT,2-170209104532.jpg,Printed,,4,
K72,070106641,7,Day,T-201TH,123000-5420C101,2019-12-13 09:13:17,4,BRC03333,BRC03336,FA-6,20191213070106641,86120-0KA00-00,HEAD UNIT,2-170209104532.jpg,Printed,,4,
K72,070106642,7,Day,T-201TH,123000-5420C101,2019-12-13 09:19:16,4,BRC03337,BRC03340,FA-6,20191213070106642,86120-0KA00-00,HEAD UNIT,2-170209104532.jpg,Printed,,4,
K72,070106643,7,Day,T-201TH,123000-5420C101,2019-12-13 09:24:26,4,BRC03341,BRC03344,FA-6,20191213070106643,86120-0KA00-00,HEAD UNIT,2-170209104532.jpg,Printed,,4,
